Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
IFX,1.110169134,0.503423662,2.44818748,0.497973327,2.474982972,2.478391303,0,SECU
IXE,0.853265356,0.534550778,1.36200675,0.531120952,1.370802198,4.191223659,0,SECU
MTX,0.074944253,0.008510328,0.659979396,0.008259268,0.680041007,0.900957189,0,SECU
NETA,0.74088923,0.030197435,18.17759878,0.028896163,18.99618466,0.612481979,0,SECU
PBO,0.940679585,0.679977262,1.30133481,0.676946428,1.307161165,6.039257318,0,SECU
RISAN,0.686816268,0.42443657,1.111394776,0.42163398,1.118782189,4.072268266,0,SECU
SONELO,1.161082826,0.230452738,5.849847304,0.22537992,5.981514798,1.212074349,0,SECU
TILDRA,0.747396346,0.324055597,1.723782286,0.320349393,1.743725164,2.345393876,0,SECU
USK,0.90930922,0.619889275,1.333856367,0.616628681,1.340909501,5.115565615,0,SECU
ADA,0.853654339,0.374697536,1.94483726,0.370474725,1.967005251,2.380353171,0,IFX
APRE,0.722633362,0.291061976,1.794116095,0.287441433,1.816714353,2.155348347,0,IFX
BIME,0.442449756,0.158156675,1.237771263,0.155932918,1.255423095,1.9052419,0,IFX
BRODA,0.874317307,0.36014922,2.12253897,0.355779174,2.148610177,2.209882667,0,IFX
CERTO,0.592259998,0.199459388,1.758613168,0.196493647,1.78515647,1.800915946,0,IFX
CICLO,4.798194004,0.248268595,92.73289558,0.23835173,96.59114154,0.661830426,0,IFX
DEUCRAVA,0.515268228,0.048937958,5.425264088,0.047377599,5.603942651,0.832577833,0,IFX
ETA,0.674996384,0.300284007,1.517297315,0.296954715,1.534308416,2.419816971,0,IFX
FUM,0.741061834,0.245899551,2.233321044,0.242193867,2.267491946,1.776712644,0,IFX
GUSEL,0.766111077,0.338811351,1.732309678,0.335027667,1.751873768,2.402303163,0,IFX
IXE,0.768590416,0.337100748,1.752387771,0.333298121,1.772380914,2.378131762,0,IFX
MTX,0.067507058,0.00697906,0.652982339,0.006764429,0.673701028,0.863695643,0,IFX
NETA,0.667366087,0.025500955,17.46513027,0.0243804,18.26785036,0.600375627,0,IFX
PBO,0.847329975,0.411272809,1.745722233,0.407201122,1.763178067,2.711551379,0,IFX
RISAN,0.618659128,0.265839875,1.439735542,0.262767,1.456572237,2.320459521,0,IFX
SECU,0.900763649,0.40846545,1.986398488,0.404043184,2.008139684,2.478391303,0,IFX
SONELO,1.045861203,0.180665551,6.054422941,0.176351213,6.202541155,1.116205917,0,IFX
TILDRA,0.67322746,0.233480553,1.941211832,0.230101898,1.969715225,1.850829801,0,IFX
USK,0.819072691,0.369420708,1.816032666,0.365393995,1.836045698,2.461579542,0,IFX
