"comparison","direct","indirect","p-value"
"ADA:BIME","0.6 (0.51, 0.71)","0.56 (0.5, 0.63)",0.437083978242583
"ADA:GUSEL","0.69 (0.63, 0.76)","0.79 (0.69, 0.9)",0.0997948396924312
"ADA:PBO","15.31 (10.83, 21.64)","18.08 (14.79, 22.11)",0.41598792451369
"ADA:RISAN","0.65 (0.57, 0.75)","0.56 (0.48, 0.64)",0.1021466803753
"APRE:ETA","0.71 (0.36, 1.38)","0.75 (0.31, 1.81)",0.915567783112937
"APRE:PBO","6.95 (3.38, 14.33)","8.71 (3.88, 19.55)",0.684792849075225
"BIME:PBO","25.52 (11.24, 57.96)","30.5 (25.54, 36.43)",0.67742063401865
"BIME:SECU","1.15 (1.07, 1.24)","1.16 (1.02, 1.31)",0.929038887928059
"BIME:USK","1.71 (1.46, 2.01)","1.57 (1.44, 1.71)",0.355784215594536
"BRODA:PBO","26.6 (16.94, 41.76)","23.62 (19.31, 28.89)",0.63753715228298
"BRODA:USK","1.27 (1.16, 1.39)","1.48 (0.86, 2.54)",0.590952988937484
"CERTO:ETA","1.2 (0.9, 1.6)","1.87 (0.75, 4.64)",0.361089393097022
"CERTO:PBO","19.73 (8.28, 47.02)","12.47 (8.83, 17.6)",0.335923210573892
"ETA:IFX","0.11 (0.02, 0.78)","0.25 (0.09, 0.68)",0.45679710538937
"ETA:IXE","0.34 (0.3, 0.39)","0.37 (0.31, 0.44)",0.541594174954337
"ETA:PBO","11.67 (8.13, 16.74)","10.32 (8.37, 12.73)",0.565080148537424
"ETA:SECU","0.43 (0.34, 0.54)","0.4 (0.35, 0.45)",0.550765278703806
"ETA:TILDRA","0.57 (0.45, 0.72)","0.64 (0.29, 1.43)",0.768761934860052
"ETA:USK","0.55 (0.45, 0.69)","0.57 (0.5, 0.65)",0.869187900137144
"FUM:MTX","0.5 (0.05, 5.22)","0.77 (0.08, 7.16)",0.793850465574491
"FUM:PBO","4.47 (2.01, 9.95)","2.9 (0.13, 66.83)",0.793850465574885
"GUSEL:IXE","0.77 (0.7, 0.85)","0.86 (0.75, 0.99)",0.222036032580451
"GUSEL:PBO","27.76 (16.21, 47.55)","23.73 (19.86, 28.34)",0.586588268509403
"GUSEL:SECU","0.91 (0.84, 0.98)","0.94 (0.84, 1.05)",0.62442589791498
"IFX:PBO","42.55 (16.05, 112.85)","98.52 (13.54, 716.73)",0.456797105389141
"IXE:PBO","37.65 (21.25, 66.73)","29.51 (24.59, 35.41)",0.426450565409506
"IXE:USK","1.41 (1.21, 1.63)","1.71 (1.53, 1.91)",0.0361984008906487
"MTX:PBO","5.81 (0.72, 46.53)","8.94 (0.75, 106.67)",0.793850465569906
"PBO:RISAN","0.04 (0.03, 0.08)","0.03 (0.03, 0.04)",0.364634750128522
"PBO:SECU","0.04 (0.03, 0.06)","0.04 (0.03, 0.04)",0.403495578663882
"PBO:SONELO","0.02 (0, 0.24)","0.04 (0.03, 0.05)",0.501148689355075
"PBO:TILDRA","0.06 (0.03, 0.12)","0.05 (0.04, 0.07)",0.833239557423445
"PBO:USK","0.06 (0.04, 0.08)","0.05 (0.04, 0.06)",0.685953830689337
"RISAN:SECU","1.12 (0.97, 1.3)","1.08 (0.96, 1.21)",0.644343613558603
"RISAN:USK","1.65 (1.42, 1.92)","1.44 (1.28, 1.62)",0.159133400428788
"SECU:SONELO","1.04 (0.83, 1.3)","0.31 (0.01, 10.67)",0.501148689356026
"SECU:USK","1.4 (1.3, 1.5)","1.37 (1.24, 1.52)",0.758350200935315
