,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,age,male,weight,pasi_score,sample_size,male_percentage,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,rAE1,rAE2,nAE1,nAE2,r21,r22,dlqi1,dlqi2,sddlqi1,sddlqi2,ndlqi1,ndlqi2
110,ALLURE_2021,PBO,SECU,-3.88480272545198,0.9945484239580256,1,71,98,71,1.3933119337785371,1.2161095698845312,2,143,1,143,0.0,0,139,ALLURE_2021,2021,1,43.5,133.0,91.0,20.5,214,0.62,30.5,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,1,98,29,72,71,143,2,1,0.0,0.0,,,71,143
111,Umezawa_2021,CERTO,PBO,3.547435062732088,1.4026580225342136,66,101,0,101,-0.663876798259832,1.204839189037048,2,26,1,26,0.0,0,140,Umezawa_2021,2021,1,50.0,99.0,73.0,25.0,127,0.78,26.5,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,66,0,66,21,101,26,2,1,-6.7801981,-0.69999993,6.4950137,4.9000001,101,26
112,Cai_2020,PBO,SECU,-3.887835779814142,0.7025179305248446,2,135,295,135,-0.8399177530895812,0.7493798660419208,2,408,14,408,0.0,0,141,Cai_2020,2020,1,39.5,350.0,73.0,27.0,441,0.79,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,2,295,71,336,135,408,2,14,0.0,0.0,,,135,408
113,ECLIPSE_2019,GUSEL,SECU,-0.09608348944986828,0.03807082070885122,369,534,391,534,-0.15258292468277385,0.23132633413037645,33,514,37,514,0.0,0,142,ECLIPSE_2019,2019,1,46.0,707.0,,20.0,1048,0.67,30,RR,beneficial,RR,harmful,GUSEL,SECU,AIL23,AIL17,369,391,416,417,534,514,33,37,0.0,0.0,,,534,514
114,STYLE_2020,APRE,PBO,,,0,201,0,201,0.014815085785140682,1.2186964158695401,2,102,1,102,0.0,0,145,STYLE_2020,2020,1,47.0,187.0,,18.0,303,0.62,31,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,0,0,135,52,201,102,2,1,-6.6999998,-3.8,5.8099999,5.6500001,201,102
115,IXORA-R_2020,GUSEL,IXE,-0.2570872073666473,0.0475269509276482,285,507,378,507,-0.09246522767209356,0.33787585300625944,16,520,18,520,0.0,0,146,IXORA-R_2020,2020,1,49.0,652.0,95.0,19.0,1027,0.63,33,RR,beneficial,RR,harmful,GUSEL,IXE,AIL23,AIL17,285,378,277,293,507,520,16,18,0.0,0.0,,,507,520
116,NCT03055494ObePso-S,PBO,SECU,-3.429240829511126,1.4072888693986352,0,28,29,28,0.6567795363890705,1.3949075939886468,1,54,1,54,0.0,0,147,NCT03055494ObePso-S,2020,1,44.5,52.0,,,102,0.51,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,29,0,0,28,54,1,1,0.0,0.0,,,28,54
117,IMMerge_2021,RISAN,SECU,0.11684548411739885,0.07333298645001163,121,164,107,164,0.3993488810907282,0.5153108260817103,9,163,6,163,0.0,0,148,IMMerge_2021,2021,2,47.0,213.0,,20.0,327,0.65,,RR,beneficial,RR,harmful,RISAN,SECU,AIL23,AIL17,121,107,117,116,164,163,9,6,0.0,0.0,,,164,163
118,BEREADY_2021,BIME,PBO,4.3581771479283615,0.9943145064027045,317,349,1,349,-0.30211233728080966,0.8075725541256515,6,86,2,86,0.0,0,150,BEREADY_2021,2021,1,44.0,313.0,89.5,20.5,435,0.72,30,RR,beneficial,RR,harmful,BIME,PBO,AIL17,PBO,317,1,213,35,349,86,6,2,0.0,0.0,,,349,86
119,BEVIVID_2021,BIME,PBO,2.870576918731651,0.4883641531627926,273,321,4,321,-0.43630978345926286,0.8275485136421961,5,83,2,83,0.0,0,151,BEVIVID_2021,2021,1,46.0,406.0,88.5,21.5,567,0.72,29.5,RR,beneficial,RR,harmful,BIME,PBO,AIL17,PBO,273,4,181,39,321,83,5,2,0.0,0.0,,,321,83
