,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,age,male,weight,pasi_score,sample_size,male_percentage,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,rAE1,rAE2,nAE1,nAE2,r21,r22,dlqi1,dlqi2,sddlqi1,sddlqi2,ndlqi1,ndlqi2
20,Gordon_2006,ADA,PBO,3.653950038293953,1.41377462869312,35,96,0,96,2.7585659912391116,1.4281299674375727,14,52,0,52,0.5,0,22,Gordon_2006,2006,1,44.0,99.0,95.0,16.0,148,0.67,,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,35,0,0,0,96,52,14,0,-11.164584,-1.3,7.7312593,7.3600001,96,52
21,REVEAL_2008,ADA,PBO,2.989900395347044,0.33181664742097855,366,814,9,814,0.04663169132879421,0.4536328311324456,15,398,7,398,0.0,0,23,REVEAL_2008,2008,1,44.0,803.0,93.0,19.0,1212,0.66,,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,366,9,506,221,814,398,15,7,-8.3999996,-1.9,6.5500002,6.6199999,814,398
22,Bagel2012,ETA,PBO,2.70805020110221,1.0170587997507998,15,62,1,62,,,0,62,0,62,0.5,0,25,Bagel2012,2012,1,40.5,69.0,,15.5,124,0.56,30,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,15,1,32,34,62,62,0,0,0.0,0.0,,,62,62
23,Gottlieb_2003a,ETA,PBO,,,0,57,0,57,-0.03571808260207923,0.9819747054629558,2,55,2,55,0.0,0,28,Gottlieb_2003a,2003,3,47.5,70.0,91.5,19.0,112,0.63,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,0,0,0,0,57,55,2,2,0.0,0.0,,,57,55
24,Leonardi_2003,ETA,PBO,2.995732273553991,1.0043555937665498,60,504,1,504,,,0,168,0,168,0.5,0,29,Leonardi_2003,2003,1,45.0,439.0,,18.0,672,0.65,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,60,1,0,0,504,168,0,0,-6.2166662,-1.4,5.6926389,7.96,504,168
25,Papp_2005,ETA,PBO,3.3868442523073408,1.0047836529825995,59,407,1,407,,,0,204,0,204,0.5,0,30,Papp_2005,2005,2,45.0,382.0,,16.5,611,0.63,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,59,1,0,0,407,204,0,0,0.0,0.0,,,407,204
26,Tyring_2006,ETA,PBO,2.7816412734942575,0.5088545325987787,65,311,4,311,0.6866955452784568,0.702529942395131,6,309,3,309,0.0,0,31,Tyring_2006,2006,1,46.0,419.0,,18.0,620,0.68,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,65,4,153,137,311,309,6,3,0.0,0.0,,,311,309
27,Vandekerkhof_2008,ETA,PBO,1.8292425624827955,1.0221385815150643,13,96,1,96,-1.1411719030869056,0.8950852117155573,2,46,3,46,0.0,0,32,Vandekerkhof_2008,2008,1,45.0,84.0,,21.0,143,0.59,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,13,1,0,0,96,46,2,3,-7.4000001,1.2,5.3400002,3.53,96,46
28,Fallaharani_2011,FUM,MTX,-0.6931471805599453,1.1972189997378648,1,30,2,30,,,0,30,0,30,0.5,0,35,Fallaharani_2011,2011,3,42.0,36.0,85.0,16.5,60,0.6,;,RR,beneficial,RR,harmful,FUM,MTX,CSA,CSA,1,2,24,27,30,30,0,0,0.0,0.0,,,30,30
29,Leonardi_2012,IXE,PBO,3.3098476030739277,1.4044107872435974,57,115,0,115,-0.7559480817989757,1.2059300604881902,2,27,1,27,0.0,0,38,Leonardi_2012,2012,1,46.0,81.0,93.0,18.0,142,0.57,,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,57,0,72,17,115,27,2,1,0.0,0.0,,,115,27
30,EXPRESS-II_2007,IFX,PBO,4.449551123990014,0.998735891190868,258,627,1,627,-0.22793972357770292,0.5262420970370031,12,208,5,208,0.0,0,40,EXPRESS-II_2007,2007,1,44.0,551.0,92.0,20.0,835,0.66,,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,258,1,412,116,627,208,12,5,-10.000797,-0.60000002,7.013155,5.0,627,208
31,Gottlieb_2004a,IFX,PBO,3.2685314153140617,0.9925449981642482,102,198,1,198,1.8696685324106461,1.4337171062997505,12,51,0,51,0.5,0,42,Gottlieb_2004a,2004,1,44.0,174.0,,19.0,249,0.7,,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,102,1,154,32,198,51,12,0,-9.5500002,-2.5999999,7.270731,6.6999998,198,51
32,Hunter_1963,MTX,PBO,0.990398704027877,1.599450455075667,1,19,0,19,,,0,17,0,17,0.5,0,50,Hunter_1963,1963,3,,,,,41,0.0,,RR,beneficial,RR,harmful,MTX,PBO,CSA,PBO,1,0,0,0,19,17,0,0,0.0,0.0,,,19,17
33,Reich_2012a,CERTO,PBO,3.201781391508901,0.9971379264768083,50,118,1,118,1.235668535136068,1.0569489993730121,7,58,1,58,0.0,0,52,Reich_2012a,2012,1,43.0,123.0,82.0,21.0,176,0.7,27,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,50,1,83,41,118,58,7,1,-9.1000004,-0.80000001,,,118,58
34,Yang_2012,IFX,PBO,3.9556717700971595,1.4095411363973673,48,84,0,84,0.47957308026188616,1.6226072615275753,1,45,0,45,0.5,0,55,Yang_2012,2012,3,40.0,95.0,68.0,,129,0.74,,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,48,0,36,17,84,45,1,0,-8.0,-1.5,7.0999999,5.0999999,84,45
35,Meffert_1997,CICLO,PBO,,,0,84,0,84,1.7339046765298807,1.4652628967336983,5,43,0,43,0.5,0,58,Meffert_1997,1997,3,,,,16.0,127,0.0,,RR,beneficial,RR,harmful,CICLO,PBO,CSA,PBO,0,0,44,4,84,43,5,0,0.0,0.0,,,84,43
36,LOTUS_2013,PBO,USK,,,0,162,0,162,-0.012422519998557209,1.4098145837285934,1,160,1,160,0.0,0,59,LOTUS_2013,2013,2,40.0,248.0,70.0,23.0,322,0.77,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,0,0,22,29,162,160,1,1,-1.9,-9.3000002,6.6300001,7.1799998,162,160
37,ESTEEM-2_2015,APRE,PBO,1.7953892372786338,0.7285491927239429,24,275,2,275,-0.178691788743376,0.7228074383163025,5,138,3,138,0.0,0,66,ESTEEM-2_2015,2015,1,45.5,276.0,91.0,19.5,413,0.67,31,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,24,2,185,82,275,138,5,3,-6.6999998,-2.7,6.1399999,6.23,275,138
38,Bachelez_2015,ETA,PBO,3.5471512942852352,0.9985107958974753,108,336,1,336,0.11778303565638346,0.7941169266057065,7,108,2,108,0.0,0,67,Bachelez_2015,2015,1,44.0,304.0,81.0,19.5,444,0.68,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,108,1,192,55,336,108,7,2,-8.9700003,-1.85,7.3299999,6.8600001,336,108
39,Gordon_2015_X-PLORE,ADA,GUSEL,-0.053934035329186836,0.18675478852415858,19,43,97,43,0.4777256753396458,1.1424840598766148,1,208,3,208,0.0,0,68,Gordon_2015_X-PLORE,2015,3,47.0,207.0,92.0,21.0,293,0.71,31,RR,beneficial,RR,harmful,ADA,GUSEL,ATA,AIL23,19,97,24,103,43,208,1,3,-10.1,-9.9792318,9.0,6.539125,43,208
40,Gordon_2015_X-PLORE,ADA,PBO,2.9209084817562463,1.0027792584534028,19,43,1,43,-0.023530497410194046,1.3974743869699322,1,42,1,42,0.0,0,68,Gordon_2015_X-PLORE,2015,3,47.0,207.0,92.0,21.0,293,0.71,31,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,19,1,24,22,43,42,1,1,-10.1,-2.3,9.0,6.8000002,43,42
41,Gordon_2015_X-PLORE,GUSEL,PBO,2.9748425170854333,0.9908037455688686,97,208,1,208,-0.5012561727498399,1.142241707002558,3,42,1,42,0.0,0,68,Gordon_2015_X-PLORE,2015,3,47.0,207.0,92.0,21.0,293,0.71,31,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,97,1,103,22,208,42,3,1,-9.9792318,-2.3,6.539125,6.8000002,208,42
42,UNCOVER-2_2015,ETA,IXE,-1.2479186831983122,0.11356590371365029,67,358,455,358,0.1821783005799713,0.4446314384715103,8,698,13,698,0.0,0,69,UNCOVER-2_2015,2015,1,45.0,821.0,91.0,21.0,1224,0.67,31,RR,beneficial,RR,harmful,ETA,IXE,ATA,AIL17,67,455,211,420,358,698,8,13,-7.6999998,-9.9028645,5.6799998,5.6233878,358,698
43,UNCOVER-2_2015,ETA,PBO,3.4481236123935246,1.0030850891587224,67,358,1,358,0.6297253541224493,0.7850186768212802,8,168,2,168,0.0,0,69,UNCOVER-2_2015,2015,1,45.0,821.0,91.0,21.0,1224,0.67,31,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,67,1,211,89,358,168,8,2,-7.6999998,-2.0,5.6799998,5.1799998,358,168
44,UNCOVER-2_2015,IXE,PBO,4.696042295591837,0.9974030060557139,455,698,1,698,0.44754705354247803,0.7546774352094072,13,168,2,168,0.0,0,69,UNCOVER-2_2015,2015,1,45.0,821.0,91.0,21.0,1224,0.67,31,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,455,1,420,89,698,168,13,2,-9.9028645,-2.0,5.6233878,5.1799998,698,168
45,UNCOVER-3_2015,ETA,IXE,-0.9549880218278389,0.09074573828088148,98,382,514,382,-0.39634452371135537,0.5125932585962549,5,771,15,771,0.0,0,70,UNCOVER-3_2015,2015,1,46.0,918.0,91.0,21.0,1346,0.68,30.5,RR,beneficial,RR,harmful,ETA,IXE,ATA,AIL17,98,514,187,420,382,771,5,15,-8.0,-9.8996115,3.9100001,3.9339306,382,771
46,UNCOVER-3_2015,ETA,PBO,2.110477589740827,0.41118317098580315,98,382,6,382,-0.6827304197016895,0.6262594125461274,5,193,5,193,0.0,0,70,UNCOVER-3_2015,2015,1,46.0,918.0,91.0,21.0,1346,0.68,30.5,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,98,6,187,70,382,193,5,5,-8.0,-1.7,3.9100001,4.1700001,382,193
47,UNCOVER-3_2015,IXE,PBO,3.065465611568666,0.4026584507333941,514,771,6,771,-0.2863858959903341,0.5100865638841984,15,193,5,193,0.0,0,70,UNCOVER-3_2015,2015,1,46.0,918.0,91.0,21.0,1346,0.68,30.5,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,514,6,420,70,771,193,15,5,-9.8996115,-1.7,3.9339306,4.1700001,771,193
48,CLEAR_2015,SECU,USK,0.319176091269519,0.05524503941819682,264,337,193,337,0.0059171770280885185,0.44054828162436444,10,339,10,339,0.0,0,72,CLEAR_2015,2015,1,45.0,481.0,87.0,22.0,676,0.71,29,RR,beneficial,RR,harmful,SECU,USK,AIL17,AIL1223,264,193,215,196,337,339,10,10,0.0,0.0,,,337,339
49,JUNCTURE_2015,PBO,SECU,-4.064055040395119,1.4117013455654503,0,61,57,61,-0.7013776796964608,1.106951712843488,1,121,4,121,0.0,0,73,JUNCTURE_2015,2015,1,45.0,125.0,91.0,20.0,182,0.69,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,57,33,81,61,121,1,4,0.0,0.0,,,61,121
50,AMAGINE-12016,BRODA,PBO,4.229133553000213,0.7053192077652363,186,298,2,298,0.38968124040690233,0.7014975700289765,6,220,3,220,0.0,0,74,AMAGINE-12016,2016,1,46.0,484.0,91.0,20.0,661,0.73,,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,186,2,173,112,298,220,6,3,1.3312751,0.0,,,298,220
51,Nakagawa_2016,BRODA,PBO,3.0690814243737172,0.9901816262707523,64,113,1,113,0.008810629682154906,1.139371750719459,3,38,1,38,0.0,0,75,Nakagawa_2016,2016,3,45.0,120.0,74.0,26.0,151,0.79,,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,64,1,69,17,113,38,3,1,0.56389356,-2.0,9.945344,6.6999998,113,38
52,AMAGINE-2_2015,BRODA,PBO,2.9169255039219375,0.31195097771257324,731,1222,10,1222,-0.5099054253471907,0.41662573418730536,19,309,8,309,0.0,0,76,AMAGINE-2_2015,2015,2,45.0,1258.0,91.0,20.0,1831,0.69,31,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,731,10,719,165,1222,309,19,8,0.0,0.0,,,1222,309
53,AMAGINE-2_2015,BRODA,USK,0.2411919042962707,0.06563934566058571,731,1222,141,1222,0.15368295297121012,0.5463331538616986,19,300,4,300,0.0,0,76,AMAGINE-2_2015,2015,2,45.0,1258.0,91.0,20.0,1831,0.69,31,RR,beneficial,RR,harmful,BRODA,USK,AIL17,AIL1223,731,141,719,177,1222,300,19,4,0.0,0.0,,,1222,300
54,AMAGINE-2_2015,PBO,USK,-2.675733599625667,0.31705302284244885,10,309,141,309,0.6635883783184009,0.6069846956159389,8,300,4,300,0.0,0,76,AMAGINE-2_2015,2015,2,45.0,1258.0,91.0,20.0,1831,0.69,31,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,10,141,165,177,309,300,8,4,0.0,0.0,,,309,300
55,AMAGINE-3_2015,BRODA,PBO,3.6378801476749976,0.44424099715265014,756,1253,5,1253,0.46510337442789534,0.6180551953580936,19,315,3,315,0.0,0,77,AMAGINE-3_2015,2015,2,45.0,1288.0,89.0,20.0,1881,0.68,30,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,756,5,682,152,1253,315,19,3,0.0,0.0,,,1253,315
56,AMAGINE-3_2015,BRODA,USK,0.23700230587815874,0.06357033854592455,756,1253,149,1253,0.8641990342505802,0.7407014284929437,19,313,2,313,0.0,0,77,AMAGINE-3_2015,2015,2,45.0,1288.0,89.0,20.0,1881,0.68,30,RR,beneficial,RR,harmful,BRODA,USK,AIL17,AIL1223,756,149,682,168,1253,313,19,2,0.0,0.0,,,1253,313
57,AMAGINE-3_2015,PBO,USK,-3.400877841796839,0.4475957082484776,5,315,149,315,0.3990956598226847,0.9093755230815355,3,313,2,313,0.0,0,77,AMAGINE-3_2015,2015,2,45.0,1288.0,89.0,20.0,1881,0.68,30,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,5,149,152,168,315,313,3,2,0.0,0.0,,,315,313
58,Papp_2015,PBO,TILDRA,-2.7492604697488727,0.9922441398840984,1,46,105,46,-0.3017187978048792,1.4823919279689628,0,309,4,309,0.5,0,78,Papp_2015,2015,2,45.0,270.0,,,355,0.76,29,RR,beneficial,RR,harmful,PBO,TILDRA,PBO,AIL23,1,105,31,198,46,309,0,4,1.0,-8.3077669,7.0900002,6.8947244,46,309
59,PIECE_2016,ETA,IFX,-2.2192034840549946,1.008227027573867,1,23,10,23,0.083381608939051,1.384384967821608,1,25,1,25,0.0,0,79,PIECE_2016,2016,3,44.0,31.0,,17.0,48,0.65,,RR,beneficial,RR,harmful,ETA,IFX,ATA,ATA,1,10,23,24,23,25,1,1,-3.0,-4.5999999,2.2,2.5,23,25
60,Cai_2016,ADA,PBO,2.7806918973334045,0.5693853260440451,188,338,3,338,-1.0694557043766542,0.7542416725281846,4,87,3,87,0.0,0,80,Cai_2016,2016,1,43.0,312.0,70.0,28.0,425,0.73,24,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,188,3,158,37,338,87,4,3,-9.0699997,-4.1700001,,,338,87
61,Reich_2015,PBO,SECU,-2.288676662947914,1.3846449338258904,0,10,42,10,-0.5540756075598073,1.4237434861443026,0,90,7,90,0.5,0,81,Reich_2015,2015,1,,,,,100,0.0,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,42,3,71,10,90,0,7,0.0,0.0,,,10,90
62,Gottlieb_2011,ETA,PBO,2.7672553762644188,1.0042434711605195,33,141,1,141,-0.7292521852020616,1.406485662587962,1,68,1,68,0.0,0,84,Gottlieb_2011,2011,1,43.5,145.0,95.0,19.0,209,0.69,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,33,1,76,31,141,68,1,1,-8.0100002,-3.3,6.1799998,6.0,141,68
63,Strober_2011,ETA,PBO,1.539416763221583,0.5910052765222701,27,139,3,139,-1.3509549946745816,1.2161072594581428,1,72,2,72,0.0,0,85,Strober_2011,2011,1,45.0,131.0,95.0,18.0,211,0.62,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,27,3,69,32,139,72,1,2,-9.0900002,-2.8900001,7.4299998,5.6900001,139,72
64,UNCOVER-1_2016,IXE,PBO,4.983551192188936,0.7058542552557342,586,865,2,865,0.5843124286339328,0.502074994972409,18,431,5,431,0.0,0,86,UNCOVER-1_2016,2016,1,46.0,883.0,92.0,20.0,1296,0.68,,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,586,2,320,122,865,431,18,5,-10.900231,-1.0,5.5112357,5.6100001,865,431
65,METOP_2017,MTX,PBO,2.364558852530779,1.4197812485635528,16,91,0,91,-2.5298580376502664,1.097510013799555,1,29,4,29,0.0,0,87,METOP_2017,2017,1,45.0,100.0,93.0,15.0,120,0.83,30,RR,beneficial,RR,harmful,MTX,PBO,CSA,PBO,16,0,75,27,91,29,1,4,-9.3999996,-2.5999999,6.5799999,5.8299999,91,29
66,BRIDGE_2017,FUM,PBO,1.497380503518383,0.4083435006139864,110,566,6,566,-0.1875649614238627,0.49981033217398946,17,138,5,138,0.0,0,88,BRIDGE_2017,2017,3,44.5,452.0,,16.0,704,0.64,,RR,beneficial,RR,harmful,FUM,PBO,CSA,PBO,110,6,472,82,566,138,17,5,0.0,0.0,,,566,138
67,Papp_2012c,APRE,PBO,1.992430164690206,1.0150384378451045,22,264,1,264,0.15415067982725836,0.7922787563134757,7,88,2,88,0.0,0,91,Papp_2012c,2012,1,44.0,221.0,92.0,18.5,352,0.63,31,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,22,1,142,35,264,88,7,2,1.5599998,-1.9,7.330605,5.9099998,264,88
68,Papp_2013b,APRE,PBO,,,0,173,0,173,-1.3805306564031405,0.8559938085673444,2,87,4,87,0.0,0,92,Papp_2013b,2013,3,46.0,163.0,,19.5,260,0.63,,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,0,0,97,47,173,87,2,4,0.0,0.0,,,173,87
69,LIBERATE_2017,APRE,ETA,-0.3483066942682157,0.34359929744242695,12,83,17,83,0.3364722366212129,0.8134876704080416,3,83,2,83,0.5,0,93,LIBERATE_2017,2017,2,45.0,157.0,88.5,19.5,250,0.63,29.5,RR,beneficial,RR,harmful,APRE,ETA,SM,ATA,12,17,58,44,83,83,3,2,-8.3000002,-7.8000002,,,83,83
70,LIBERATE_2017,APRE,PBO,1.3982705521666063,0.6266687418332116,12,83,3,83,1.9578150515616317,1.5039627383294663,3,84,0,84,0.5,0,93,LIBERATE_2017,2017,2,45.0,157.0,88.5,19.5,250,0.63,29.5,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,12,3,58,50,83,84,3,0,-8.3000002,-3.7999997,,,83,84
71,LIBERATE_2017,ETA,PBO,1.7465772464348222,0.6067980784983188,17,83,3,83,1.6213428149404188,1.5414894201937233,2,84,0,84,0.5,0,93,LIBERATE_2017,2017,2,45.0,157.0,88.5,19.5,250,0.63,29.5,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,17,3,44,50,83,84,2,0,-7.8000002,-3.7999997,,,83,84
72,VOYAGE-1_2016,ADA,GUSEL,-0.38789238734544035,0.0643424302077852,166,334,241,334,-0.30276531466310946,0.5344465745168615,6,329,8,329,0.0,0,94,VOYAGE-1_2016,2016,1,44.0,608.0,,22.0,837,0.73,30,RR,beneficial,RR,harmful,ADA,GUSEL,ATA,AIL23,166,241,170,170,334,329,6,8,-9.3000002,-11.2,7.8000002,7.2399998,334,329
73,VOYAGE-1_2016,ADA,PBO,2.8504641821602714,0.4441654623816587,166,334,5,334,0.04106148679777392,0.7008986100622332,6,174,3,174,0.0,0,94,VOYAGE-1_2016,2016,1,44.0,608.0,,22.0,837,0.73,30,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,166,5,170,86,334,174,6,3,-9.3000002,-0.60000002,7.8000002,6.3600001,334,174
74,VOYAGE-1_2016,GUSEL,PBO,3.238356569505712,0.4419985718062535,241,329,5,329,0.34382680146088335,0.6704824331917579,8,174,3,174,0.0,0,94,VOYAGE-1_2016,2016,1,44.0,608.0,,22.0,837,0.73,30,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,241,5,170,86,329,174,8,3,-11.2,-0.60000002,7.2399998,6.3600001,329,174
75,VOYAGE-2_2017,ADA,GUSEL,-0.4025874082805493,0.07385219657397929,116,248,347,248,0.4054651081081644,0.5344326707545979,6,496,8,496,0.0,0,95,VOYAGE-2_2017,2017,1,44.0,692.0,,22.0,992,0.7,30,RR,beneficial,RR,harmful,ADA,GUSEL,ATA,AIL23,116,347,120,235,248,496,6,8,-9.6999998,-11.3,6.8000002,6.8000002,248,496
76,VOYAGE-2_2017,ADA,PBO,2.9618307218783095,0.40892889381016695,116,248,6,248,0.6931471805599453,0.7013811259728677,6,248,3,248,0.0,0,95,VOYAGE-2_2017,2017,1,44.0,692.0,,22.0,992,0.7,30,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,116,6,120,111,248,248,6,3,-9.6999998,-2.5999999,6.8000002,6.9000001,248,248
77,VOYAGE-2_2017,GUSEL,PBO,3.364418130158859,0.4043514856536277,347,496,6,496,0.28768207245178085,0.6725213351534353,8,248,3,248,0.0,0,95,VOYAGE-2_2017,2017,1,44.0,692.0,,22.0,992,0.7,30,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,347,6,235,111,496,248,8,3,-11.3,-2.5999999,6.8000002,6.9000001,496,248
78,CLARITY_2018,SECU,USK,0.3458190283422739,0.045716545105517495,421,550,299,550,0.445462520329618,0.4229774302709332,14,552,9,552,0.0,0,97,CLARITY_2018,2018,1,45.0,732.0,92.0,21.0,1102,0.66,,RR,beneficial,RR,harmful,SECU,USK,AIL17,AIL1223,421,299,261,256,550,552,14,9,0.0,0.0,,,550,552
79,Elewski_2016,ADA,PBO,1.8950207975498212,0.3817069129790014,47,109,7,109,0.4607869741408116,0.5536844126523116,8,108,5,108,0.0,0,99,Elewski_2016,2016,1,47.0,183.0,90.0,12.5,217,0.84,29,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,47,7,64,61,109,108,8,5,-8.0,-1.9,6.2600002,6.2399998,109,108
80,UltIMMa-1_2018,PBO,RISAN,-2.7322292029981887,0.4373481644802414,5,102,229,102,0.2447570277347471,0.6805123664839884,3,304,7,304,0.0,0,101,UltIMMa-1_2018,2018,1,48.0,361.0,,20.5,506,0.71,29.5,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,5,229,52,151,102,304,3,7,0.2,-5.5999999,3.03,3.49,102,304
81,UltIMMa-1_2018,PBO,USK,-2.1480343331454477,0.4516697933677836,5,102,42,102,-1.000631880307906,0.6622155327117493,3,100,8,100,0.0,0,101,UltIMMa-1_2018,2018,1,48.0,361.0,,20.5,506,0.71,29.5,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,5,42,52,50,102,100,3,8,0.2,-4.4000001,3.03,3.0,102,100
82,UltIMMa-1_2018,RISAN,USK,0.584194869852741,0.12201173038846518,229,304,42,304,-1.245388908042653,0.5045469940183296,7,100,8,100,0.0,0,101,UltIMMa-1_2018,2018,1,48.0,361.0,,20.5,506,0.71,29.5,RR,beneficial,RR,harmful,RISAN,USK,AIL23,AIL1223,229,42,151,50,304,100,7,8,-5.5999999,-4.4000001,3.49,3.0,304,100
83,UltIMMa-2_2018,PBO,RISAN,-3.6018680771243066,0.7006711156945059,2,98,220,98,-0.6931471805599453,1.0738068841694934,1,294,6,294,0.0,0,102,UltIMMa-2_2018,2018,1,47.0,336.0,,19.0,491,0.68,31,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,2,220,45,134,98,294,1,6,0.0,-6.4000001,2.8800001,3.4300001,98,294
84,UltIMMa-2_2018,PBO,USK,-3.1468480496860955,0.7077934048937005,2,98,47,98,-1.0884599172040916,1.1458744440817545,1,99,3,99,0.0,0,102,UltIMMa-2_2018,2018,1,47.0,336.0,,19.0,491,0.68,31,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,2,47,45,53,98,99,1,3,0.0,-5.5999994,2.8800001,2.98,98,99
85,UltIMMa-2_2018,RISAN,USK,0.4550200274382113,0.11099405229519106,220,294,47,294,-0.3953127366441464,0.6974938202986262,6,99,3,99,0.0,0,102,UltIMMa-2_2018,2018,1,47.0,336.0,,19.0,491,0.68,31,RR,beneficial,RR,harmful,RISAN,USK,AIL23,AIL1223,220,47,134,53,294,99,6,3,-6.4000001,-5.5999994,3.4300001,2.98,294,99
86,CIMPASI-1_2018,CERTO,PBO,2.99900559889896,0.994392560751194,72,183,1,183,0.6682496289382183,1.05725343170196,7,51,1,51,0.0,0,103,CIMPASI-1_2018,2018,1,46.0,162.0,93.0,20.0,234,0.69,31,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,72,1,109,28,183,51,7,1,-9.2366123,-3.3,7.5917954,6.9000001,183,51
87,CIMPASI-2_2018,CERTO,PBO,2.5707664588591372,0.6960604679164575,95,178,2,178,1.2823334258164876,1.4587809611959484,6,49,0,49,0.5,0,104,CIMPASI-2_2018,2018,1,45.0,127.0,93.0,18.0,227,0.56,31,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,95,2,114,33,178,49,6,0,-10.56236,-2.9000001,7.7008982,6.5999999,178,49
88,VIPtrial_2018,ADA,PBO,,,0,33,0,33,1.547880019434667,1.529183841787936,2,31,0,31,0.5,0,108,VIPtrial_2018,2018,2,43.0,67.0,,17.0,96,0.7,32,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,0,0,7,15,33,31,2,0,-7.9099998,-3.73,8.7700005,8.0,33,31
89,ORION_2020,GUSEL,PBO,3.22207071576472,1.394434140062874,47,62,0,62,0.27763173659827955,1.5242683291973036,2,16,0,16,0.5,0,114,ORION_2020,2020,1,46.0,53.0,,18.0,78,0.68,31,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,47,0,39,11,62,16,2,0,0.0,0.0,,,62,16
90,SustaIMM_2019,PBO,RISAN,-3.7757064483243954,0.9928110439806178,1,58,85,58,-0.7193495529539694,1.1063042362603206,1,113,4,113,0.0,0,116,SustaIMM_2019,2019,1,52.0,143.0,74.0,26.0,171,0.84,26.5,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,1,85,33,61,58,113,1,4,0.0,0.0,,,58,113
91,Ohtsuki_2017,APRE,PBO,2.1853901196892167,1.0187092032123874,18,170,1,170,1.495240814975776,1.4847635502181142,4,84,0,84,0.5,0,117,Ohtsuki_2017,2017,1,50.5,202.0,70.0,21.0,254,0.8,25,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,18,1,93,35,170,84,4,0,-1.3,1.3,5.2156229,5.6999998,170,84
92,Ohtsuki_2018,GUSEL,PBO,4.509233350732278,1.4098807561707474,90,128,0,128,-0.6931471805599453,0.9882117688026185,2,64,2,64,0.0,0,118,Ohtsuki_2018,2018,2,49.0,145.0,71.0,26.0,192,0.76,25,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,90,0,59,36,128,64,2,2,-8.3984375,-0.80000001,6.3996038,5.4000001,128,64
